wave,inten,std
6568.173,4764.182,8.950
6572.533,859.109,3.854
6576.893,343.048,2.494
6581.253,386.196,2.639
6585.613,460.876,2.865
6589.973,242.674,2.145
6594.334,96.679,1.459
6598.694,79.878,1.364
6603.054,78.993,1.355
6607.415,82.501,1.347
6611.775,84.564,1.336
6616.136,78.312,1.317
6620.496,82.238,1.350
6624.857,79.122,1.310
6629.217,79.241,1.316
6633.578,82.169,1.298
6637.939,77.078,1.305
6642.299,79.121,1.312
6646.660,78.839,1.308
6651.021,81.144,1.315
6655.382,77.251,1.317
6659.743,89.966,1.383
6664.104,104.755,1.452
6668.465,115.008,1.547
6672.826,144.774,1.684
6677.187,172.455,1.808
6681.549,177.614,1.829
6685.910,104.636,1.450
6690.272,73.385,1.283
6694.633,77.334,1.285
6698.995,78.964,1.318
6703.356,77.450,1.319
6707.718,83.859,1.368
6712.080,94.200,1.428
6716.442,102.447,1.452
6720.804,99.317,1.434
6725.166,95.112,1.395
6729.528,99.485,1.442
6733.890,106.258,1.453
6738.253,84.710,1.312
6742.615,70.736,1.247
6746.978,72.966,1.242
6751.341,75.961,1.238
6755.703,70.849,1.239
6760.066,73.601,1.252
6764.429,71.145,1.234
6768.792,71.470,1.214
6773.155,67.090,1.206
